2025-03-10 21:57:53,276 - Logging initialized (multi-board crawler)
2025-03-10 21:58:21,648 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741330632.A.EDC.html
2025-03-10 21:58:21,799 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741330867.A.CDD.html
2025-03-10 21:58:21,855 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741331189.A.ACC.html
2025-03-10 21:58:21,998 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741331674.A.084.html
2025-03-10 21:58:22,128 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741333781.A.1C8.html
2025-03-10 21:58:22,278 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741334505.A.D8A.html
2025-03-10 21:58:22,438 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741337890.A.C24.html
2025-03-10 21:58:22,558 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741339184.A.D62.html
2025-03-10 21:58:22,699 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741342002.A.28A.html
2025-03-10 21:58:22,848 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741342275.A.4D9.html
2025-03-10 21:58:22,998 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741342476.A.D10.html
2025-03-10 21:58:23,138 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741345880.A.828.html
2025-03-10 21:58:23,279 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741348242.A.262.html
2025-03-10 21:58:23,480 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741348899.A.A77.html
2025-03-10 21:58:23,649 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741353399.A.6CE.html
2025-03-10 21:58:23,839 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741354821.A.29F.html
2025-03-10 21:58:23,895 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741357656.A.C9A.html
2025-03-10 21:58:24,896 - [NBA] Processing page 6494, progress: 10/104 (9.6%)
2025-03-10 21:58:25,098 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741311754.A.6DD.html
2025-03-10 21:58:25,249 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741311947.A.D76.html
2025-03-10 21:58:25,368 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741312761.A.07F.html
2025-03-10 21:58:25,715 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741314623.A.C07.html
2025-03-10 21:58:25,779 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741316020.A.DF0.html
2025-03-10 21:58:25,999 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741318262.A.35E.html
2025-03-10 21:58:26,128 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741318591.A.8D6.html
2025-03-10 21:58:26,238 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741318899.A.51D.html
2025-03-10 21:58:26,358 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741319219.A.9A5.html
2025-03-10 21:58:26,417 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741319452.A.CE3.html
2025-03-10 21:58:26,558 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741319521.A.905.html
2025-03-10 21:58:26,728 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741320121.A.0EE.html
2025-03-10 21:58:26,858 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741321173.A.A16.html
2025-03-10 21:58:26,998 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741321509.A.52C.html
2025-03-10 21:58:27,067 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741324808.A.46F.html
2025-03-10 21:58:27,269 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741327135.A.19B.html
2025-03-10 21:58:27,418 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741327161.A.907.html
2025-03-10 21:58:27,619 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741327260.A.580.html
2025-03-10 21:58:27,758 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741327383.A.062.html
2025-03-10 21:58:27,928 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741328840.A.C8D.html
2025-03-10 21:58:28,930 - [NBA] Processing page 6493, progress: 11/104 (10.6%)
2025-03-10 21:58:29,159 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741263672.A.C21.html
2025-03-10 21:58:29,214 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741273649.A.0ED.html
2025-03-10 21:58:29,328 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741275318.A.8B6.html
2025-03-10 21:58:29,394 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741276456.A.4E3.html
2025-03-10 21:58:29,507 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741276576.A.B57.html
2025-03-10 21:58:29,628 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741277978.A.8C5.html
2025-03-10 21:58:29,694 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741285424.A.549.html
2025-03-10 21:58:29,752 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741292102.A.62F.html
2025-03-10 21:58:29,888 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741301901.A.371.html
2025-03-10 21:58:29,953 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741303830.A.360.html
2025-03-10 21:58:30,014 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741304321.A.D96.html
2025-03-10 21:58:30,158 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741305408.A.027.html
2025-03-10 21:58:30,505 - Duplicate article, skipping: https://www.ptt.cc/bbs/NBA/M.1741305618.A.4B8.html
