2025-03-10 20:02:16,431 - Logging initialized (crawler)
2025-03-10 20:02:16,459 - Start crawling Gossiping pages from index 38949 to index 38700
2025-03-10 20:09:58,463 - Processing page 38786, progress: 164/250 (65.6%)
2025-03-10 20:10:01,375 - Processing page 38785, progress: 165/250 (66.0%)
2025-03-10 20:10:04,937 - Processing page 38784, progress: 166/250 (66.4%)
2025-03-10 20:10:07,819 - Processing page 38783, progress: 167/250 (66.8%)
2025-03-10 20:10:10,378 - Processing page 38782, progress: 168/250 (67.2%)
2025-03-10 20:10:13,362 - Processing page 38781, progress: 169/250 (67.6%)
2025-03-10 20:10:16,245 - Processing page 38780, progress: 170/250 (68.0%)
2025-03-10 20:10:19,247 - Processing page 38779, progress: 171/250 (68.4%)
2025-03-10 20:10:21,790 - Processing page 38778, progress: 172/250 (68.8%)
2025-03-10 20:10:24,422 - Processing page 38777, progress: 173/250 (69.2%)
2025-03-10 20:10:27,354 - Processing page 38776, progress: 174/250 (69.6%)
2025-03-10 20:10:30,197 - Processing page 38775, progress: 175/250 (70.0%)
2025-03-10 20:10:33,594 - Processing page 38774, progress: 176/250 (70.4%)
2025-03-10 20:10:36,334 - Processing page 38773, progress: 177/250 (70.8%)
2025-03-10 20:10:40,503 - Processing page 38772, progress: 178/250 (71.2%)
2025-03-10 20:10:43,408 - Processing page 38771, progress: 179/250 (71.6%)
2025-03-10 20:10:46,070 - Processing page 38770, progress: 180/250 (72.0%)
2025-03-10 20:10:49,724 - Processing page 38769, progress: 181/250 (72.4%)
2025-03-10 20:10:52,702 - Processing page 38768, progress: 182/250 (72.8%)
2025-03-10 20:10:55,878 - Processing page 38767, progress: 183/250 (73.2%)
2025-03-10 20:10:58,964 - Processing page 38766, progress: 184/250 (73.6%)
2025-03-10 20:11:02,061 - Processing page 38765, progress: 185/250 (74.0%)
2025-03-10 20:11:04,827 - Processing page 38764, progress: 186/250 (74.4%)
2025-03-10 20:11:08,519 - Processing page 38763, progress: 187/250 (74.8%)
2025-03-10 20:11:11,125 - Processing page 38762, progress: 188/250 (75.2%)
2025-03-10 20:11:14,143 - Processing page 38761, progress: 189/250 (75.6%)
2025-03-10 20:11:16,720 - Processing page 38760, progress: 190/250 (76.0%)
2025-03-10 20:11:19,424 - Processing page 38759, progress: 191/250 (76.4%)
2025-03-10 20:11:22,574 - Processing page 38758, progress: 192/250 (76.8%)
2025-03-10 20:11:25,435 - Processing page 38757, progress: 193/250 (77.2%)
2025-03-10 20:11:28,092 - Processing page 38756, progress: 194/250 (77.6%)
